multipleM	1	2	3		1	2	3		1	2	3				
avg	152	56	78		78	87	88		102	87	86		110,6666667	76,66666667	84
tifl	103	67	200		175	79	73		161	82	79		146,3333333	76	117,3333333
fast	200	200	200		200	200	200		200	200	200		200	200	200
new	75	50	73		92	76	73		72	63	75		79,66666667	63	73,66666667
															
multiple	1	2	3		1	2	3		1	2	3				
avg	152	131	129		78	155	124		102	168	150		110,6666667	151,3333333	134,3333333
tifl	103	126	121		175	150	124		161	96	96		146,3333333	124	113,6666667
fast	200	200	200		200	200	200		200	200	200		200	200	200
new	75	56	111		92	86	92		72	117	83		79,66666667	86,33333333	95,33333333
